Hour,Vehicles
19,2653
20,2635
21,2644
22,2627
23,2672
24,2721
25,2679
26,2705
27,2670
28,2708
29,2754
30,2780
31,2820
32,2859
33,2847
34,2819
35,2856
36,2814
37,2815
38,2843
39,2887
40,2927
41,2971
42,2992
43,3034
44,3059
45,3106
46,3088
47,3067
48,3111
49,3152
50,3117
51,3121
52,3167
53,3120
54,3122
55,3110
56,3116
57,3082
58,3037
59,3018
60,3003
61,3039
62,3015
63,2998
64,3039
65,3032
66,3036
67,3020
68,2970
69,2938
70,2943
71,2961
72,2961
73,2917
74,2891
75,2923
76,2937
77,2974
78,2946
79,2956
80,3001
81,3043
82,3082
